	entity_text	entity_id	entity_score	candidate	shortest_path
0	NO ENGLISH ENTITY TEXT	Q3255488	-2.7267277	Q402496	0
1	NO ENGLISH ENTITY TEXT	Q3255677	-3.5416636	Q402496	0
2	NO ENGLISH ENTITY TEXT	Q3233140	-3.6767306	Q402496	0
3	List of minor Old Testament figures, A–K	Q2712858	-3.6855445	Q402496	0
4	List of minor Old Testament figures, L–Z	Q8068232	-3.7186656	Q402496	0
5	NO ENGLISH ENTITY TEXT	Q3248476	-3.7973323	Q402496	0
6	NO ENGLISH ENTITY TEXT	Q3255657	-4.111431	Q402496	0
7	NO ENGLISH ENTITY TEXT	Q19839476	-4.2050653	Q402496	0
8	List of minor 2000 AD stories	Q6628660	-4.2364674	Q402496	0
9	NO ENGLISH ENTITY TEXT	Q3255675	-4.2985706	Q402496	0
10	NO ENGLISH ENTITY TEXT	Q3255488	-2.7267277	Q60	1
11	NO ENGLISH ENTITY TEXT	Q3255677	-3.5416636	Q60	1
12	NO ENGLISH ENTITY TEXT	Q3233140	-3.6767306	Q60	1
13	List of minor Old Testament figures, A–K	Q2712858	-3.6855445	Q60	1
14	List of minor Old Testament figures, L–Z	Q8068232	-3.7186656	Q60	1
15	NO ENGLISH ENTITY TEXT	Q3248476	-3.7973323	Q60	1
16	NO ENGLISH ENTITY TEXT	Q3255657	-4.111431	Q60	1
17	NO ENGLISH ENTITY TEXT	Q19839476	-4.2050653	Q60	1
18	List of minor 2000 AD stories	Q6628660	-4.2364674	Q60	1
19	NO ENGLISH ENTITY TEXT	Q3255675	-4.2985706	Q60	0
20	NO ENGLISH ENTITY TEXT	Q3255488	-2.7267277	Q60	1
21	NO ENGLISH ENTITY TEXT	Q3255677	-3.5416636	Q60	1
22	NO ENGLISH ENTITY TEXT	Q3233140	-3.6767306	Q60	1
23	List of minor Old Testament figures, A–K	Q2712858	-3.6855445	Q60	1
24	List of minor Old Testament figures, L–Z	Q8068232	-3.7186656	Q60	1
25	NO ENGLISH ENTITY TEXT	Q3248476	-3.7973323	Q60	1
26	NO ENGLISH ENTITY TEXT	Q3255657	-4.111431	Q60	1
27	NO ENGLISH ENTITY TEXT	Q19839476	-4.2050653	Q60	1
28	List of minor 2000 AD stories	Q6628660	-4.2364674	Q60	1
29	NO ENGLISH ENTITY TEXT	Q3255675	-4.2985706	Q60	0
30	NO ENGLISH ENTITY TEXT	Q3255488	-2.7267277	Q65	1
31	NO ENGLISH ENTITY TEXT	Q3255677	-3.5416636	Q65	1
32	NO ENGLISH ENTITY TEXT	Q3233140	-3.6767306	Q65	1
33	List of minor Old Testament figures, A–K	Q2712858	-3.6855445	Q65	1
34	List of minor Old Testament figures, L–Z	Q8068232	-3.7186656	Q65	1
35	NO ENGLISH ENTITY TEXT	Q3248476	-3.7973323	Q65	1
36	NO ENGLISH ENTITY TEXT	Q3255657	-4.111431	Q65	1
37	NO ENGLISH ENTITY TEXT	Q19839476	-4.2050653	Q65	1
38	List of minor 2000 AD stories	Q6628660	-4.2364674	Q65	1
39	NO ENGLISH ENTITY TEXT	Q3255675	-4.2985706	Q65	0
40	NO ENGLISH ENTITY TEXT	Q3255488	-2.7267277	Q60	1
41	NO ENGLISH ENTITY TEXT	Q3255677	-3.5416636	Q60	1
42	NO ENGLISH ENTITY TEXT	Q3233140	-3.6767306	Q60	1
43	List of minor Old Testament figures, A–K	Q2712858	-3.6855445	Q60	1
44	List of minor Old Testament figures, L–Z	Q8068232	-3.7186656	Q60	1
45	NO ENGLISH ENTITY TEXT	Q3248476	-3.7973323	Q60	1
46	NO ENGLISH ENTITY TEXT	Q3255657	-4.111431	Q60	1
47	NO ENGLISH ENTITY TEXT	Q19839476	-4.2050653	Q60	1
48	List of minor 2000 AD stories	Q6628660	-4.2364674	Q60	1
49	NO ENGLISH ENTITY TEXT	Q3255675	-4.2985706	Q60	0
50	NO ENGLISH ENTITY TEXT	Q3255488	-2.7267277	Q65	1
51	NO ENGLISH ENTITY TEXT	Q3255677	-3.5416636	Q65	1
52	NO ENGLISH ENTITY TEXT	Q3233140	-3.6767306	Q65	1
53	List of minor Old Testament figures, A–K	Q2712858	-3.6855445	Q65	1
54	List of minor Old Testament figures, L–Z	Q8068232	-3.7186656	Q65	1
55	NO ENGLISH ENTITY TEXT	Q3248476	-3.7973323	Q65	1
56	NO ENGLISH ENTITY TEXT	Q3255657	-4.111431	Q65	1
57	NO ENGLISH ENTITY TEXT	Q19839476	-4.2050653	Q65	1
58	List of minor 2000 AD stories	Q6628660	-4.2364674	Q65	1
59	NO ENGLISH ENTITY TEXT	Q3255675	-4.2985706	Q65	0
60	NO ENGLISH ENTITY TEXT	Q3255488	-2.7267277	Q60	1
61	NO ENGLISH ENTITY TEXT	Q3255677	-3.5416636	Q60	1
62	NO ENGLISH ENTITY TEXT	Q3233140	-3.6767306	Q60	1
63	List of minor Old Testament figures, A–K	Q2712858	-3.6855445	Q60	1
64	List of minor Old Testament figures, L–Z	Q8068232	-3.7186656	Q60	1
65	NO ENGLISH ENTITY TEXT	Q3248476	-3.7973323	Q60	1
66	NO ENGLISH ENTITY TEXT	Q3255657	-4.111431	Q60	1
67	NO ENGLISH ENTITY TEXT	Q19839476	-4.2050653	Q60	1
68	List of minor 2000 AD stories	Q6628660	-4.2364674	Q60	1
69	NO ENGLISH ENTITY TEXT	Q3255675	-4.2985706	Q60	0
